Fecha,Id,Jugador,Pareja,Equipo,Jugados,Ganados ,Puntos,Partida,Doble
2/21/2025,8,Kilo,Piztache,Kilo / Piztache,1,1,2,74,1
2/21/2025,9,Jerry,Jorge,Jerry / Jorge,1,0,-3,75,1
2/21/2025,9,Kilo,Piztache,Kilo / Piztache,1,1,3,75,1
2/21/2025,10,Jerry,Jorge,Jerry / Jorge,1,1,1,76,1
2/21/2025,10,Kilo,Piztache,Kilo / Piztache,1,0,-1,76,1
2/21/2025,11,Jerry,Kilo,Jerry / Kilo,1,1,1,77,1
2/21/2025,11,Jorge,Piztache,Jorge / Piztache,1,0,-1,77,1
2/28/2025,1,Jerry,Jorge,Jerry / Jorge,1,0,-2,80,1
2/28/2025,1,Rober,Kilo,Rober / Kilo,1,1,2,80,1
2/28/2025,2,Jerry,Kilo,Jerry / Kilo,1,0,-1,81,1
2/28/2025,2,Rober,Jorge,Rober / Jorge,1,1,1,81,1
2/28/2025,3,Jerry,Jorge,Jerry / Jorge,1,0,-1,82,1
2/28/2025,3,Rober,Kilo,Rober / Kilo,1,1,1,82,1
2/28/2025,4,Jorge,Kilo,Jorge / Kilo,1,0,-2,83,1
2/28/2025,4,Rober,Piztache,Rober / Piztache,1,1,2,83,1
2/28/2025,5,Jerry,Kilo,Jerry / Kilo,1,1,2,84,1
2/28/2025,5,Rober,Piztache,Rober / Piztache,1,0,-2,84,1
2/28/2025,6,Jerry,Kilo,Jerry / Kilo,1,1,3,85,1
2/28/2025,6,Jorge,Piztache,Jorge / Piztache,1,0,-3,85,1
2/28/2025,7,Jerry,Piztache,Jerry / Piztache,1,1,2,86,1
2/28/2025,7,Jorge,Kilo,Jorge / Kilo,1,0,-2,86,1
2/28/2025,8,Jorge,Piztache,Jorge / Piztache,1,0,-1,87,1
2/28/2025,8,Rober,Jerry,Rober / Jerry,1,1,1,87,1
2/28/2025,9,Jorge,Kilo,Jorge / Kilo,1,1,3,88,1
2/28/2025,9,Rober,Jerry,Rober / Jerry,1,0,-3,88,1
2/28/2025,10,Jerry,Jorge,Jerry / Jorge,1,1,1,89,1
2/28/2025,10,Kilo,Piztache,Kilo / Piztache,1,0,-1,89,1
2/28/2025,11,Jerry,Kilo,Jerry / Kilo,1,1,3,90,1
2/28/2025,11,Rober,Jorge,Rober / Jorge,1,0,-3,90,1
3/14/2025,1,Jerry,Kilo,Jerry / Kilo,1,0,-1,93,1
3/14/2025,1,Jorge,Piztache,Jorge / Piztache,1,1,1,93,1
3/14/2025,2,Jerry,Jorge,Jerry / Jorge,1,1,2,94,1
3/14/2025,2,Kilo,Piztache,Kilo / Piztache,1,0,-2,94,1
3/14/2025,3,Jerry,Kilo,Jerry / Kilo,1,1,3,95,1
3/14/2025,3,Jorge,Piztache,Jorge / Piztache,1,0,-3,95,1
3/14/2025,4,Jerry,Jorge,Jerry / Jorge,1,1,2,96,1
3/14/2025,4,Kilo,Piztache,Kilo / Piztache,1,0,-2,96,1
3/14/2025,5,Jerry,Kilo,Jerry / Kilo,1,1,2,97,1
3/14/2025,5,Jorge,Piztache,Jorge / Piztache,1,0,-2,97,1
3/14/2025,6,Jerry,Piztache,Jerry / Piztache,1,1,8,98,1
3/14/2025,6,Jorge,Kilo,Jorge / Kilo,1,0,-8,98,1
3/14/2025,7,Jerry,Kilo,Jerry / Kilo,1,1,3,99,1
3/14/2025,7,Jorge,Piztache,Jorge / Piztache,1,0,-3,99,1
3/14/2025,8,Jerry,Piztache,Jerry / Piztache,1,0,-2,100,1
3/14/2025,8,Jorge,Kilo,Jorge / Kilo,1,1,2,100,1
3/14/2025,9,Jerry,Jorge,Jerry / Jorge,1,0,-3,101,1
3/14/2025,9,Kilo,Piztache,Kilo / Piztache,1,1,3,101,1
3/14/2025,10,Jerry,Jorge,Jerry / Jorge,1,0,-1,102,1
3/14/2025,10,Kilo,Piztache,Kilo / Piztache,1,1,1,102,1
3/21/2025,1,Kilo,Piztache,Kilo / Piztache,1,0,-2,105,1
3/21/2025,1,Rober,Jerry,Rober / Jerry,1,1,2,105,1
3/21/2025,2,Jerry,Jorge,Jerry / Jorge,1,0,-1,106,1
3/21/2025,2,Rober,Kilo,Rober / Kilo,1,1,1,106,1
3/21/2025,3,Jorge,Piztache,Jorge / Piztache,1,0,-2,107,1
3/21/2025,3,Rober,Kilo,Rober / Kilo,1,1,2,107,1
3/21/2025,4,Jerry,Piztache,Jerry / Piztache,1,1,2,108,1
3/21/2025,4,Rober,Kilo,Rober / Kilo,1,0,-2,108,1
3/21/2025,5,Jerry,Jorge,Jerry / Jorge,1,0,-1,109,1
3/21/2025,5,Kilo,Piztache,Kilo / Piztache,1,1,1,109,1
3/21/2025,6,Kilo,Piztache,Kilo / Piztache,1,1,1,110,1
3/21/2025,6,Rober,Jerry,Rober / Jerry,1,0,-1,110,1
3/21/2025,7,Jerry,Jorge,Jerry / Jorge,1,0,-1,111,1
3/21/2025,7,Rober,Piztache,Rober / Piztache,1,1,1,111,1
3/21/2025,8,Jorge,Kilo,Jorge / Kilo,1,0,-1,112,1
3/21/2025,8,Rober,Jerry,Rober / Jerry,1,1,1,112,1
3/21/2025,9,Jorge,Kilo,Jorge / Kilo,1,1,2,113,1
3/21/2025,9,Rober,Jerry,Rober / Jerry,1,0,-2,113,1
3/21/2025,10,Jorge,Kilo,Jorge / Kilo,1,1,2,114,1
3/21/2025,10,Rober,Jerry,Rober / Jerry,1,0,-2,114,1
3/28/2025,1,Jerry,Piztache,Jerry / Piztache,1,0,-1,117,1
3/28/2025,1,Jorge,Kilo,Jorge / Kilo,1,1,1,117,1
3/28/2025,2,Jerry,Piztache,Jerry / Piztache,1,1,3,118,1
3/28/2025,2,Jorge,Kilo,Jorge / Kilo,1,0,-3,118,1
3/28/2025,3,Jerry,Kilo,Jerry / Kilo,1,1,2,119,1
3/28/2025,3,Jorge,Piztache,Jorge / Piztache,1,0,-2,119,1
3/28/2025,4,Jerry,Kilo,Jerry / Kilo,1,1,2,120,1
3/28/2025,4,Jorge,Piztache,Jorge / Piztache,1,0,-2,120,1
3/28/2025,5,Jerry,Jorge,Jerry / Jorge,1,0,-2,121,1
3/28/2025,5,Kilo,Piztache,Kilo / Piztache,1,1,2,121,1
3/28/2025,6,Jerry,Piztache,Jerry / Piztache,1,1,1,122,1
3/28/2025,6,Jorge,Kilo,Jorge / Kilo,1,0,-1,122,1
3/28/2025,7,Jerry,Jorge,Jerry / Jorge,1,0,-6,123,1
3/28/2025,7,Kilo,Piztache,Kilo / Piztache,1,1,6,123,1
4/4/2025,1,Kilo,Piztache,Kilo / Piztache,1,0,-3,126,1
4/4/2025,1,Rober,Jerry,Rober / Jerry,1,1,3,126,1
4/4/2025,2,Jerry,Piztache,Jerry / Piztache,1,1,1,127,1
4/4/2025,2,Rober,Kilo,Rober / Kilo,1,0,-1,127,1
1/3/2025,1,Kilo,Jerry,Jerry / Kilo,1,1,2,1,2
1/3/2025,1,Piztache,Rober,Rober / Piztache,1,0,-2,1,2
1/3/2025,2,Piztache,Jerry,Jerry / Piztache,1,0,-3,2,2
1/3/2025,2,Kilo,Rober,Rober / Kilo,1,1,3,2,2
1/3/2025,3,Kilo,Jerry,Jerry / Kilo,1,1,2,3,2
1/3/2025,3,Piztache,Rober,Rober / Piztache,1,0,-2,3,2
1/3/2025,4,Piztache,Kilo,Kilo / Piztache,1,0,-2,4,2
1/3/2025,4,Jerry,Rober,Rober / Jerry,1,1,2,4,2
1/3/2025,5,Piztache,Jerry,Jerry / Piztache,1,1,2,5,2
1/3/2025,5,Kilo,Rober,Rober / Kilo,1,0,-2,5,2
1/3/2025,6,Piztache,Jerry,Jerry / Piztache,1,1,1,6,2
1/3/2025,6,Kilo,Rober,Rober / Kilo,1,0,-1,6,2
1/3/2025,7,Piztache,Kilo,Kilo / Piztache,1,0,-2,7,2
1/3/2025,7,Jerry,Rober,Rober / Jerry,1,1,2,7,2
1/3/2025,8,Kilo,Jerry,Jerry / Kilo,1,0,-2,8,2
1/3/2025,8,Piztache,Rober,Rober / Piztache,1,1,2,8,2
1/3/2025,9,Kilo,Jerry,Jerry / Kilo,1,1,3,9,2
1/3/2025,9,Piztache,Rober,Rober / Piztache,1,0,-3,9,2
1/3/2025,10,Piztache,Jerry,Jerry / Piztache,1,1,1,10,2
1/3/2025,10,Kilo,Rober,Rober / Kilo,1,0,-1,10,2
1/3/2025,11,Kilo,Jerry,Jerry / Kilo,1,0,-2,11,2
1/3/2025,11,Piztache,Rober,Rober / Piztache,1,1,2,11,2
1/10/2025,1,Kilo,Jerry,Jerry / Kilo,1,0,-3,14,2
1/10/2025,1,Piztache,Jorge,Jorge / Piztache,1,1,3,14,2
1/10/2025,2,Piztache,Jerry,Jerry / Piztache,1,1,3,15,2
1/10/2025,2,Kilo,Jorge,Jorge / Kilo,1,0,-3,15,2
1/10/2025,3,Kilo,Jerry,Jerry / Kilo,1,1,1,16,2
1/10/2025,3,Piztache,Jorge,Jorge / Piztache,1,0,-1,16,2
1/10/2025,4,Piztache,Jerry,Jerry / Piztache,1,0,-3,17,2
1/10/2025,4,Kilo,Jorge,Jorge / Kilo,1,1,3,17,2
1/10/2025,5,Kilo,Jerry,Jerry / Kilo,1,1,3,18,2
1/10/2025,5,Piztache,Jorge,Jorge / Piztache,1,0,-3,18,2
1/10/2025,6,Kilo,Jerry,Jerry / Kilo,1,1,1,19,2
1/10/2025,6,Piztache,Jorge,Jorge / Piztache,1,0,-1,19,2
1/10/2025,7,Jorge,Jerry,Jerry / Jorge,1,0,-4,20,2
1/10/2025,7,Piztache,Kilo,Kilo / Piztache,1,1,4,20,2
1/10/2025,8,Jorge,Jerry,Jerry / Jorge,1,1,3,21,2
1/10/2025,8,Piztache,Kilo,Kilo / Piztache,1,0,-3,21,2
1/17/2025,1,Jorge,Jerry,Jerry / Jorge,1,1,1,24,2
1/17/2025,1,Piztache,Rober,Rober / Piztache,1,0,-1,24,2
1/17/2025,2,Piztache,Jerry,Jerry / Piztache,1,1,3,25,2
1/17/2025,2,Jorge,Rober,Rober / Jorge,1,0,-3,25,2
1/17/2025,3,Piztache,Jerry,Jerry / Piztache,1,1,2,26,2
1/17/2025,3,Jorge,Rober,Rober / Jorge,1,0,-2,26,2
1/17/2025,4,Piztache,Jorge,Jorge / Piztache,1,1,2,27,2
1/17/2025,4,Jerry,Rober,Rober / Jerry,1,0,-2,27,2
1/17/2025,5,Piztache,Jerry,Jerry / Piztache,1,0,-1,28,2
1/17/2025,5,Jorge,Rober,Rober / Jorge,1,1,1,28,2
1/17/2025,6,Jorge,Jerry,Jerry / Jorge,1,0,-2,29,2
1/17/2025,6,Piztache,Rober,Rober / Piztache,1,1,2,29,2
1/17/2025,7,Piztache,Jerry,Jerry / Piztache,1,1,1,30,2
1/17/2025,7,Jorge,Rober,Rober / Jorge,1,0,-1,30,2
1/17/2025,8,Jorge,Jerry,Jerry / Jorge,1,0,-4,31,2
1/17/2025,8,Piztache,Kilo,Kilo / Piztache,1,1,4,31,2
1/17/2025,9,Kilo,Jerry,Jerry / Kilo,1,1,1,32,2
1/17/2025,9,Piztache,Jorge,Jorge / Piztache,1,0,-1,32,2
1/17/2025,10,Kilo,Jerry,Jerry / Kilo,1,0,-2,33,2
1/17/2025,10,Jorge,Rober,Rober / Jorge,1,1,2,33,2
1/17/2025,11,Piztache,Jerry,Jerry / Piztache,1,0,-1,34,2
1/17/2025,11,Kilo,Jorge,Jorge / Kilo,1,1,1,34,2
1/24/2025,1,Kilo,Jerry,Jerry / Kilo,1,0,-2,37,2
1/24/2025,1,Piztache,Jorge,Jorge / Piztache,1,1,2,37,2
1/24/2025,2,Jorge,Jerry,Jerry / Jorge,1,1,2,38,2
1/24/2025,2,Piztache,Kilo,Kilo / Piztache,1,0,-2,38,2
1/24/2025,3,Jorge,Jerry,Jerry / Jorge,1,1,4,39,2
1/24/2025,3,Piztache,Kilo,Kilo / Piztache,1,0,-4,39,2
1/24/2025,4,Jorge,Jerry,Jerry / Jorge,1,0,-3,40,2
1/24/2025,4,Piztache,Kilo,Kilo / Piztache,1,1,3,40,2
1/24/2025,5,Piztache,Jerry,Jerry / Piztache,1,0,-2,41,2
1/24/2025,5,Kilo,Jorge,Jorge / Kilo,1,1,2,41,2
1/24/2025,6,Kilo,Jerry,Jerry / Kilo,1,1,1,42,2
1/24/2025,6,Piztache,Jorge,Jorge / Piztache,1,0,-1,42,2
1/24/2025,7,Kilo,Jerry,Jerry / Kilo,1,0,-4,43,2
1/24/2025,7,Piztache,Jorge,Jorge / Piztache,1,1,4,43,2
1/31/2025,1,Piztache,Jerry,Jerry / Piztache,1,0,-4,46,2
1/31/2025,1,Jorge,Rober,Rober / Jorge,1,1,4,46,2
1/31/2025,2,Piztache,Jerry,Jerry / Piztache,1,1,1,47,2
1/31/2025,2,Jorge,Rober,Rober / Jorge,1,0,-1,47,2
1/31/2025,3,Kilo,Jorge,Jorge / Kilo,1,0,-2,48,2
1/31/2025,3,Jerry,Rober,Rober / Jerry,1,1,2,48,2
1/31/2025,4,Jorge,Jerry,Jerry / Jorge,1,1,1,49,2
1/31/2025,4,Kilo,Rober,Rober / Kilo,1,0,-1,49,2
1/31/2025,5,Piztache,Jorge,Jorge / Piztache,1,0,-1,50,2
1/31/2025,5,Jerry,Rober,Rober / Jerry,1,1,1,50,2
1/31/2025,6,Kilo,Jerry,Jerry / Kilo,1,1,1,51,2
1/31/2025,6,Piztache,Jorge,Jorge / Piztache,1,0,-1,51,2
1/31/2025,7,Piztache,Jerry,Jerry / Piztache,1,1,2,52,2
1/31/2025,7,Kilo,Rober,Rober / Kilo,1,0,-2,52,2
1/31/2025,8,Kilo,Jerry,Jerry / Kilo,1,1,2,53,2
1/31/2025,8,Piztache,Rober,Rober / Piztache,1,0,-2,53,2
1/31/2025,9,Kilo,Jerry,Jerry / Kilo,1,1,2,54,2
1/31/2025,9,Piztache,Jorge,Jorge / Piztache,1,0,-2,54,2
2/7/2025,1,Piztache,Jerry,Jerry / Piztache,1,0,-2,57,2
2/7/2025,1,Kilo,Jorge,Jorge / Kilo,1,1,2,57,2
2/7/2025,2,Jorge,Jerry,Jerry / Jorge,1,1,2,58,2
2/7/2025,2,Piztache,Kilo,Kilo / Piztache,1,0,-2,58,2
2/7/2025,3,Piztache,Jerry,Jerry / Piztache,1,0,-2,59,2
2/7/2025,3,Kilo,Jorge,Jorge / Kilo,1,1,2,59,2
2/7/2025,4,Piztache,Jerry,Jerry / Piztache,1,1,2,60,2
2/7/2025,4,Kilo,Jorge,Jorge / Kilo,1,0,-2,60,2
2/7/2025,5,Kilo,Jerry,Jerry / Kilo,1,1,6,61,2
2/7/2025,5,Piztache,Jorge,Jorge / Piztache,1,0,-6,61,2
2/7/2025,6,Kilo,Jerry,Jerry / Kilo,1,1,6,62,2
2/7/2025,6,Piztache,Jorge,Jorge / Piztache,1,0,-6,62,2
2/7/2025,7,Jorge,Jerry,Jerry / Jorge,1,1,2,63,2
2/7/2025,7,Piztache,Kilo,Kilo / Piztache,1,0,-2,63,2
2/7/2025,8,Piztache,Jerry,Jerry / Piztache,1,0,-1,64,2
2/7/2025,8,Kilo,Jorge,Jorge / Kilo,1,1,1,64,2
2/21/2025,1,Kilo,Jerry,Jerry / Kilo,1,1,1,67,2
2/21/2025,1,Piztache,Jorge,Jorge / Piztache,1,0,-1,67,2
2/21/2025,2,Kilo,Jerry,Jerry / Kilo,1,1,1,68,2
2/21/2025,2,Piztache,Jorge,Jorge / Piztache,1,0,-1,68,2
2/21/2025,3,Jorge,Jerry,Jerry / Jorge,1,0,-1,69,2
2/21/2025,3,Piztache,Kilo,Kilo / Piztache,1,1,1,69,2
2/21/2025,4,Jorge,Jerry,Jerry / Jorge,1,1,2,70,2
2/21/2025,4,Piztache,Kilo,Kilo / Piztache,1,0,-2,70,2
2/21/2025,5,Piztache,Jerry,Jerry / Piztache,1,0,-1,71,2
2/21/2025,5,Kilo,Jorge,Jorge / Kilo,1,1,1,71,2
2/21/2025,6,Piztache,Jerry,Jerry / Piztache,1,0,-2,72,2
2/21/2025,6,Kilo,Jorge,Jorge / Kilo,1,1,2,72,2
2/21/2025,7,Piztache,Jerry,Jerry / Piztache,1,1,4,73,2
2/21/2025,7,Kilo,Jorge,Jorge / Kilo,1,0,-4,73,2
2/21/2025,8,Jorge,Jerry,Jerry / Jorge,1,0,-2,74,2
2/21/2025,8,Piztache,Kilo,Kilo / Piztache,1,1,2,74,2
2/21/2025,9,Jorge,Jerry,Jerry / Jorge,1,0,-3,75,2
2/21/2025,9,Piztache,Kilo,Kilo / Piztache,1,1,3,75,2
2/21/2025,10,Jorge,Jerry,Jerry / Jorge,1,1,1,76,2
2/21/2025,10,Piztache,Kilo,Kilo / Piztache,1,0,-1,76,2
2/21/2025,11,Kilo,Jerry,Jerry / Kilo,1,1,1,77,2
2/21/2025,11,Piztache,Jorge,Jorge / Piztache,1,0,-1,77,2
2/28/2025,1,Jorge,Jerry,Jerry / Jorge,1,0,-2,80,2
2/28/2025,1,Kilo,Rober,Rober / Kilo,1,1,2,80,2
2/28/2025,2,Kilo,Jerry,Jerry / Kilo,1,0,-1,81,2
2/28/2025,2,Jorge,Rober,Rober / Jorge,1,1,1,81,2
2/28/2025,3,Jorge,Jerry,Jerry / Jorge,1,0,-1,82,2
2/28/2025,3,Kilo,Rober,Rober / Kilo,1,1,1,82,2
2/28/2025,4,Kilo,Jorge,Jorge / Kilo,1,0,-2,83,2
2/28/2025,4,Piztache,Rober,Rober / Piztache,1,1,2,83,2
2/28/2025,5,Kilo,Jerry,Jerry / Kilo,1,1,2,84,2
2/28/2025,5,Piztache,Rober,Rober / Piztache,1,0,-2,84,2
2/28/2025,6,Kilo,Jerry,Jerry / Kilo,1,1,3,85,2
2/28/2025,6,Piztache,Jorge,Jorge / Piztache,1,0,-3,85,2
2/28/2025,7,Piztache,Jerry,Jerry / Piztache,1,1,2,86,2
2/28/2025,7,Kilo,Jorge,Jorge / Kilo,1,0,-2,86,2
