Fecha,Id,Jugador,Pareja,Equipo,Jugados,Ganados ,Puntos,Partida,Doble
8/30/2025,7,Piztache,Jorge,Jorge / Piztache,1,0,-1,61,2
9/5/2025,1,Jerry,Piztache,Jerry / Piztache,1,1,2,64,1
9/5/2025,1,Jorge,Kilo,Jorge / Kilo,1,0,-2,64,1
9/5/2025,1,Piztache,Jerry,Jerry / Piztache,1,1,2,64,2
9/5/2025,1,Kilo,Jorge,Jorge / Kilo,1,0,-2,64,2
9/5/2025,2,Kilo,Piztache,Kilo / Piztache,1,1,1,65,1
9/5/2025,2,Jerry,Jorge,Jerry / Jorge,1,0,-1,65,1
9/5/2025,2,Piztache,Kilo,Kilo / Piztache,1,1,1,65,2
9/5/2025,2,Jorge,Jerry,Jerry / Jorge,1,0,-1,65,2
9/5/2025,3,Jorge,Piztache,Jorge / Piztache,1,1,2,66,1
9/5/2025,3,Jerry,Kilo,Jerry / Kilo,1,0,-2,66,1
9/5/2025,3,Piztache,Jorge,Jorge / Piztache,1,1,2,66,2
9/5/2025,3,Kilo,Jerry,Jerry / Kilo,1,0,-2,66,2
9/5/2025,4,Jerry,Kilo,Jerry / Kilo,1,1,1,67,1
9/5/2025,4,Jorge,Piztache,Jorge / Piztache,1,0,-1,67,1
9/5/2025,4,Kilo,Jerry,Jerry / Kilo,1,1,1,67,2
9/5/2025,4,Piztache,Jorge,Jorge / Piztache,1,0,-1,67,2
9/5/2025,5,Jorge,Piztache,Jorge / Piztache,1,1,1,68,1
9/5/2025,5,Jerry,Kilo,Jerry / Kilo,1,0,-1,68,1
9/5/2025,5,Piztache,Jorge,Jorge / Piztache,1,1,1,68,2
9/5/2025,5,Kilo,Jerry,Jerry / Kilo,1,0,-1,68,2
9/5/2025,6,Jerry,Piztache,Jerry / Piztache,1,1,1,69,1
9/5/2025,6,Jorge,Kilo,Jorge / Kilo,1,0,-1,69,1
9/5/2025,6,Piztache,Jerry,Jerry / Piztache,1,1,1,69,2
9/5/2025,6,Kilo,Jorge,Jorge / Kilo,1,0,-1,69,2
9/19/2025,1,Rober,Jerry,Rober / Jerry,1,1,4,72,1
9/19/2025,1,Kilo,Piztache,Kilo / Piztache,1,0,-4,72,1
9/19/2025,1,Jerry,Rober,Rober / Jerry,1,1,4,72,2
9/19/2025,1,Piztache,Kilo,Kilo / Piztache,1,0,-4,72,2
9/19/2025,2,Kilo,Piztache,Kilo / Piztache,1,1,3,73,1
9/19/2025,2,Rober,Jerry,Rober / Jerry,1,0,-3,73,1
9/19/2025,2,Piztache,Kilo,Kilo / Piztache,1,1,3,73,2
9/19/2025,2,Jerry,Rober,Rober / Jerry,1,0,-3,73,2
9/19/2025,3,Jerry,Piztache,Jerry / Piztache,1,1,6,74,1
9/19/2025,3,Rober,Kilo,Rober / Kilo,1,0,-6,74,1
9/19/2025,3,Piztache,Jerry,Jerry / Piztache,1,1,6,74,2
9/19/2025,3,Kilo,Rober,Rober / Kilo,1,0,-6,74,2
9/19/2025,4,Jerry,Piztache,Jerry / Piztache,1,1,1,75,1
9/19/2025,4,Rober,Kilo,Rober / Kilo,1,0,-1,75,1
9/19/2025,4,Piztache,Jerry,Jerry / Piztache,1,1,1,75,2
9/19/2025,4,Kilo,Rober,Rober / Kilo,1,0,-1,75,2
9/19/2025,5,Jorge,Piztache,Jorge / Piztache,1,1,1,76,1
9/19/2025,5,Jerry,Kilo,Jerry / Kilo,1,0,-1,76,1
9/19/2025,5,Piztache,Jorge,Jorge / Piztache,1,1,1,76,2
9/19/2025,5,Kilo,Jerry,Jerry / Kilo,1,0,-1,76,2
9/19/2025,6,Jorge,Kilo,Jorge / Kilo,1,1,1,77,1
9/19/2025,6,Rober,Jerry,Rober / Jerry,1,0,-1,77,1
9/19/2025,6,Kilo,Jorge,Jorge / Kilo,1,1,1,77,2
9/19/2025,6,Jerry,Rober,Rober / Jerry,1,0,-1,77,2
10/3/2025,1,Rober,Kilo,Rober / Kilo,1,1,1,80,1
10/3/2025,1,Jorge,Piztache,Jorge / Piztache,1,0,-1,80,1
10/3/2025,1,Kilo,Rober,Rober / Kilo,1,1,1,80,2
10/3/2025,1,Piztache,Jorge,Jorge / Piztache,1,0,-1,80,2
10/3/2025,2,Jorge,Kilo,Jorge / Kilo,1,1,2,81,1
10/3/2025,2,Rober,Piztache,Rober / Piztache,1,0,-2,81,1
10/3/2025,2,Kilo,Jorge,Jorge / Kilo,1,1,2,81,2
10/3/2025,2,Piztache,Rober,Rober / Piztache,1,0,-2,81,2
10/3/2025,3,Kilo,Piztache,Kilo / Piztache,1,1,1,82,1
10/3/2025,3,Rober,Jorge,Rober / Jorge,1,0,-1,82,1
10/3/2025,3,Piztache,Kilo,Kilo / Piztache,1,1,1,82,2
10/3/2025,3,Jorge,Rober,Rober / Jorge,1,0,-1,82,2
10/3/2025,4,Kilo,Piztache,Kilo / Piztache,1,1,1,83,1
10/3/2025,4,Rober,Jorge,Rober / Jorge,1,0,-1,83,1
10/3/2025,4,Piztache,Kilo,Kilo / Piztache,1,1,1,83,2
10/3/2025,4,Jorge,Rober,Rober / Jorge,1,0,-1,83,2
10/3/2025,5,Rober,Kilo,Rober / Kilo,1,1,1,84,1
10/3/2025,5,Jorge,Piztache,Jorge / Piztache,1,0,-1,84,1
10/3/2025,5,Kilo,Rober,Rober / Kilo,1,1,1,84,2
10/3/2025,5,Piztache,Jorge,Jorge / Piztache,1,0,-1,84,2
10/3/2025,6,Kilo,Piztache,Kilo / Piztache,1,1,2,85,1
10/3/2025,6,Rober,Jorge,Rober / Jorge,1,0,-2,85,1
10/3/2025,6,Piztache,Kilo,Kilo / Piztache,1,1,2,85,2
10/3/2025,6,Jorge,Rober,Rober / Jorge,1,0,-2,85,2
10/3/2025,7,Kilo,Piztache,Kilo / Piztache,1,1,2,86,1
10/3/2025,7,Rober,Jorge,Rober / Jorge,1,0,-2,86,1
10/3/2025,7,Piztache,Kilo,Kilo / Piztache,1,1,2,86,2
10/3/2025,7,Jorge,Rober,Rober / Jorge,1,0,-2,86,2
